Loading Anaconda 3 2024.02-1
ppo_baseline_cf_obs15_stopgo_v9_seed2 obs shape: (15, 5) action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to runs/tb/ppo_baseline_cf_obs15_stopgo_v9_seed2_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 14.8     |
|    ep_rew_mean     | 1.35     |
| time/              |          |
|    fps             | 379      |
|    iterations      | 1        |
|    time_elapsed    | 43       |
|    total_timesteps | 16384    |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 15            |
|    ep_rew_mean          | 1.4           |
| time/                   |               |
|    fps                  | 342           |
|    iterations           | 2             |
|    time_elapsed         | 95            |
|    total_timesteps      | 32768         |
| train/                  |               |
|    approx_kl            | 0.00026682907 |
|    clip_fraction        | 0.00647       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | -0.000444     |
|    learning_rate        | 0.0003        |
|    loss                 | 0.103         |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.000215     |
|    std                  | 1.01          |
|    value_loss           | 1.82          |
-------------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 15.7     |
|    ep_rew_mean          | 1.55     |
| time/                   |          |
|    fps                  | 336      |
|    iterations           | 3        |
|    time_elapsed         | 146      |
|    total_timesteps      | 49152    |
| train/                  |          |
|    approx_kl            | 0.011915 |
|    clip_fraction        | 0.171    |
|    clip_range           | 0.2      |
|    entropy_loss         | -1.41    |
|    explained_variance   | 0.98     |
|    learning_rate        | 0.0003   |
|    loss                 | 0.0521   |
|    n_updates            | 20       |
|    policy_gradient_loss | -0.0174  |
|    std                  | 0.996    |
|    value_loss           | 0.115    |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.1        |
|    ep_rew_mean          | 1.8         |
| time/                   |             |
|    fps                  | 337         |
|    iterations           | 4           |
|    time_elapsed         | 194         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.020366717 |
|    clip_fraction        | 0.265       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00547    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0318     |
|    std                  | 0.949       |
|    value_loss           | 0.084       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.4        |
|    ep_rew_mean          | 2.32        |
| time/                   |             |
|    fps                  | 339         |
|    iterations           | 5           |
|    time_elapsed         | 241         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.028290357 |
|    clip_fraction        | 0.305       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0308      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0401     |
|    std                  | 0.875       |
|    value_loss           | 0.0842      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 27.1        |
|    ep_rew_mean          | 0.98        |
| time/                   |             |
|    fps                  | 342         |
|    iterations           | 6           |
|    time_elapsed         | 286         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.028420998 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.21       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00649    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0382     |
|    std                  | 0.799       |
|    value_loss           | 0.0984      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.5         |
|    ep_rew_mean          | -2.19        |
| time/                   |              |
|    fps                  | 347          |
|    iterations           | 7            |
|    time_elapsed         | 330          |
|    total_timesteps      | 114688       |
| train/                  |              |
|    approx_kl            | 0.0072148493 |
|    clip_fraction        | 0.0851       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.18        |
|    explained_variance   | -0.235       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.03         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00268     |
|    std                  | 0.78         |
|    value_loss           | 1.89         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.4        |
|    ep_rew_mean          | -4.92       |
| time/                   |             |
|    fps                  | 351         |
|    iterations           | 8           |
|    time_elapsed         | 372         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.010694204 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.13       |
|    explained_variance   | 0.122       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.816       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0048     |
|    std                  | 0.743       |
|    value_loss           | 3.08        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.2         |
|    ep_rew_mean          | -9.36        |
| time/                   |              |
|    fps                  | 356          |
|    iterations           | 9            |
|    time_elapsed         | 414          |
|    total_timesteps      | 147456       |
| train/                  |              |
|    approx_kl            | 0.0073027927 |
|    clip_fraction        | 0.0716       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0.611        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.11         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00312     |
|    std                  | 0.715        |
|    value_loss           | 2.15         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.6        |
|    ep_rew_mean          | -11.4       |
| time/                   |             |
|    fps                  | 359         |
|    iterations           | 10          |
|    time_elapsed         | 455         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.005144436 |
|    clip_fraction        | 0.0401      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.831       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.479       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00133    |
|    std                  | 0.696       |
|    value_loss           | 1.19        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 83.5         |
|    ep_rew_mean          | -8.36        |
| time/                   |              |
|    fps                  | 361          |
|    iterations           | 11           |
|    time_elapsed         | 498          |
|    total_timesteps      | 180224       |
| train/                  |              |
|    approx_kl            | 0.0042537656 |
|    clip_fraction        | 0.0463       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.908        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.58         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00277     |
|    std                  | 0.701        |
|    value_loss           | 1.01         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43.3        |
|    ep_rew_mean          | -0.807      |
| time/                   |             |
|    fps                  | 363         |
|    iterations           | 12          |
|    time_elapsed         | 541         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.010558408 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.1        |
|    explained_variance   | 0.956       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.601       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00733    |
|    std                  | 0.732       |
|    value_loss           | 1.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26.6        |
|    ep_rew_mean          | 1.86        |
| time/                   |             |
|    fps                  | 363         |
|    iterations           | 13          |
|    time_elapsed         | 586         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.013662382 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.15       |
|    explained_variance   | 0.979       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.58        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.765       |
|    value_loss           | 1.4         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.1         |
|    ep_rew_mean          | 2.44         |
| time/                   |              |
|    fps                  | 362          |
|    iterations           | 14           |
|    time_elapsed         | 632          |
|    total_timesteps      | 229376       |
| train/                  |              |
|    approx_kl            | 0.0075189713 |
|    clip_fraction        | 0.0886       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.13        |
|    explained_variance   | 0.982        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.699        |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00928     |
|    std                  | 0.744        |
|    value_loss           | 0.917        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.4         |
|    ep_rew_mean          | 2.53         |
| time/                   |              |
|    fps                  | 362          |
|    iterations           | 15           |
|    time_elapsed         | 678          |
|    total_timesteps      | 245760       |
| train/                  |              |
|    approx_kl            | 0.0075216913 |
|    clip_fraction        | 0.099        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.982        |
