Loading Anaconda 3 2024.02-1
ppo_baseline_cf_obs20_dense_v12_seed1 obs shape: (20, 5) action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to runs/tb/ppo_baseline_cf_obs20_dense_v12_seed1_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 12       |
|    ep_rew_mean     | -0.886   |
| time/              |          |
|    fps             | 146      |
|    iterations      | 1        |
|    time_elapsed    | 55       |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.2         |
|    ep_rew_mean          | -0.867       |
| time/                   |              |
|    fps                  | 145          |
|    iterations           | 2            |
|    time_elapsed         | 112          |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0028940234 |
|    clip_fraction        | 0.0117       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.000672     |
|    learning_rate        | 0.0003       |
|    loss                 | 0.372        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000783    |
|    std                  | 0.995        |
|    value_loss           | 2.86         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.5        |
|    ep_rew_mean          | -0.79       |
| time/                   |             |
|    fps                  | 145         |
|    iterations           | 3           |
|    time_elapsed         | 168         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.012343291 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.953       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0622      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0135     |
|    std                  | 1.01        |
|    value_loss           | 0.194       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 13.1       |
|    ep_rew_mean          | -0.792     |
| time/                   |            |
|    fps                  | 145        |
|    iterations           | 4          |
|    time_elapsed         | 224        |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.01281212 |
|    clip_fraction        | 0.169      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.44      |
|    explained_variance   | 0.985      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0365     |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0182    |
|    std                  | 1.02       |
|    value_loss           | 0.0953     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.8         |
|    ep_rew_mean          | -0.582       |
| time/                   |              |
|    fps                  | 145          |
|    iterations           | 5            |
|    time_elapsed         | 281          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0139352605 |
|    clip_fraction        | 0.171        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.992        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00928      |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0182      |
|    std                  | 0.976        |
|    value_loss           | 0.0718       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.3        |
|    ep_rew_mean          | -0.537      |
| time/                   |             |
|    fps                  | 146         |
|    iterations           | 6           |
|    time_elapsed         | 335         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.017229497 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0291      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0204     |
|    std                  | 0.925       |
|    value_loss           | 0.0599      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15          |
|    ep_rew_mean          | -0.538      |
| time/                   |             |
|    fps                  | 146         |
|    iterations           | 7           |
|    time_elapsed         | 391         |
|    total_timesteps      | 57344       |
