Loading Anaconda 3 2024.02-1
SCENARIO_NAME=highway_lanechange_dense_obs20
EXP_VERSION=v10
TOTAL_TIMESTEPS=1000000
SEEDS=2
CONTROLLED_VEHICLES=2
N_WORLDS=4
VEC_MODE=async
TARGET_ROLLOUT_SIZE=16384
DEVICE=cpu
MODEL_DIR=runs/models
MONITOR_ROOT=runs/monitor
TB_DIR=runs/tb
ppo_shared_highway_lanechange_dense_obs20_v10_cv2_seed2 agents: 2 agent obs shape: (20, 5) joint action space: Tuple(Box(-1.0, 1.0, (2,), float32), Box(-1.0, 1.0, (2,), float32))
ppo_shared_highway_lanechange_dense_obs20_v10_cv2_seed2: worlds=4, agents_per_world=2, ppo_slots=8, vec_mode=async, n_steps=2048
Using cpu device
Logging to runs/tb/ppo_shared_highway_lanechange_dense_obs20_v10_cv2_seed2_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 3.86     |
|    ep_rew_mean     | 0.554    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 112      |
|    iterations      | 1        |
|    time_elapsed    | 145      |
|    total_timesteps | 16384    |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.8        |
|    ep_rew_mean          | 0.993      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 125        |
|    iterations           | 2          |
|    time_elapsed         | 260        |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.00581582 |
|    clip_fraction        | 0.0614     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.82      |
|    explained_variance   | -0.0148    |
|    learning_rate        | 0.0003     |
|    loss                 | 0.926      |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0047    |
|    std                  | 0.991      |
|    value_loss           | 2.4        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.72        |
|    ep_rew_mean          | 1.01        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 3           |
|    time_elapsed         | 374         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.007865349 |
|    clip_fraction        | 0.0919      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.111       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.31        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00904    |
|    std                  | 0.981       |
|    value_loss           | 2.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.04        |
|    ep_rew_mean          | 1.01        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 4           |
|    time_elapsed         | 487         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.013446506 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | 0.113       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.15        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0113     |
|    std                  | 0.962       |
|    value_loss           | 2.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.6         |
|    ep_rew_mean          | 1.51        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 137         |
|    iterations           | 5           |
|    time_elapsed         | 597         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.016779698 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.7        |
|    explained_variance   | 0.0722      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.727       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0147     |
|    std                  | 0.931       |
|    value_loss           | 2.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.54        |
|    ep_rew_mean          | 1.77        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 139         |
|    iterations           | 6           |
|    time_elapsed         | 704         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.016044453 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.63       |
|    explained_variance   | 0.0677      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.986       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0141     |
|    std                  | 0.899       |
|    value_loss           | 2.62        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.9         |
|    ep_rew_mean          | 3.49        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 141         |
|    iterations           | 7           |
|    time_elapsed         | 807         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.019094914 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.55       |
|    explained_variance   | 0.0998      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.91        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0168     |
|    std                  | 0.866       |
|    value_loss           | 2.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.3        |
|    ep_rew_mean          | 4.41        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 8           |
|    time_elapsed         | 907         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.017664343 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.47       |
|    explained_variance   | 0.0937      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.07        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.84        |
|    value_loss           | 4.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.2        |
|    ep_rew_mean          | 5.67        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 146         |
|    iterations           | 9           |
|    time_elapsed         | 1004        |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.012855064 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.41       |
|    explained_variance   | 0.109       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.04        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.819       |
|    value_loss           | 5.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 29.4        |
|    ep_rew_mean          | 9.02        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 148         |
|    iterations           | 10          |
|    time_elapsed         | 1101        |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.010545921 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.149       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.21        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00931    |
|    std                  | 0.799       |
|    value_loss           | 7.94        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32          |
|    ep_rew_mean          | 8.84        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 11          |
|    time_elapsed         | 1196        |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.009647621 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.236       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.43        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00706    |
|    std                  | 0.784       |
|    value_loss           | 8.59        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.8       |
|    ep_rew_mean          | 10.4       |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 152        |
|    iterations           | 12         |
|    time_elapsed         | 1290       |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.00873926 |
|    clip_fraction        | 0.0916     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.315      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.9        |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.00389   |
|    std                  | 0.772      |
|    value_loss           | 10.1       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.3         |
|    ep_rew_mean          | 10.7         |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 153          |
|    iterations           | 13           |
|    time_elapsed         | 1384         |
|    total_timesteps      | 212992       |
| train/                  |              |
|    approx_kl            | 0.0069462555 |
|    clip_fraction        | 0.0786       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.23        |
|    explained_variance   | 0.395        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.86         |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00224     |
|    std                  | 0.762        |
|    value_loss           | 10.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43.9        |
|    ep_rew_mean          | 12          |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 155         |
|    iterations           | 14          |
|    time_elapsed         | 1479        |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.007441266 |
|    clip_fraction        | 0.0826      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.22       |
|    explained_variance   | 0.46        |
|    learning_rate        | 0.0003      |
|    loss                 | 4.88        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0022     |
|    std                  | 0.759       |
|    value_loss           | 11.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.5        |
|    ep_rew_mean          | 13.5        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 156         |
|    iterations           | 15          |
|    time_elapsed         | 1572        |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.008437523 |
|    clip_fraction        | 0.0823      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.21       |
|    explained_variance   | 0.515       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.56        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00186    |
|    std                  | 0.757       |
|    value_loss           | 12.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42           |
|    ep_rew_mean          | 12.3         |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 157          |
|    iterations           | 16           |
|    time_elapsed         | 1666         |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0075069503 |
|    clip_fraction        | 0.0863       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.19        |
|    explained_variance   | 0.509        |
|    learning_rate        | 0.0003       |
|    loss                 | 7.6          |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00148     |
|    std                  | 0.753        |
|    value_loss           | 14           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
