Loading Anaconda 3 2024.02-1
SCENARIO_NAME=cf_obs15
EXP_VERSION=v10_diag
TOTAL_TIMESTEPS=1000000
SEEDS=2
CONTROLLED_VEHICLES=2
N_WORLDS=4
VEC_MODE=async
TARGET_ROLLOUT_SIZE=16384
DEVICE=cpu
MODEL_DIR=runs/models
MONITOR_ROOT=runs/monitor
TB_DIR=runs/tb
ATTN_MODE=oracle
X_INDEX=1
VX_INDEX=3
ORACLE_RULE=leader_x
TTC_EPS=1e-6
ppo_shared_attn_oracle_cf_obs15_v10_diag_cv2_seed2 agents: 2 agent obs shape: (15, 5) joint action space: Tuple(Box(-1.0, 1.0, (1,), float32), Box(-1.0, 1.0, (1,), float32))
ppo_shared_attn_oracle_cf_obs15_v10_diag_cv2_seed2: worlds=4, agents_per_world=2, ppo_slots=8, vec_mode=async, n_steps=2048, attn_mode=oracle, oracle_rule=leader_x
Using cpu device
Logging to runs/tb/ppo_shared_attn_oracle_cf_obs15_v10_diag_cv2_seed2_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 13.7     |
|    ep_rew_mean     | 4.66     |
| time/              |          |
|    fps             | 134      |
|    iterations      | 1        |
|    time_elapsed    | 121      |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.2        |
|    ep_rew_mean          | 5.29        |
| time/                   |             |
|    fps                  | 127         |
|    iterations           | 2           |
|    time_elapsed         | 257         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.004309487 |
|    clip_fraction        | 0.0232      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.000963    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.27        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00111    |
|    std                  | 0.989       |
|    value_loss           | 2.42        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 14.5      |
|    ep_rew_mean          | 5.02      |
| time/                   |           |
|    fps                  | 123       |
|    iterations           | 3         |
|    time_elapsed         | 397       |
|    total_timesteps      | 49152     |
| train/                  |           |
|    approx_kl            | 0.0059431 |
|    clip_fraction        | 0.0627    |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.4      |
|    explained_variance   | 0.864     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.753     |
|    n_updates            | 20        |
|    policy_gradient_loss | -0.00422  |
|    std                  | 0.988     |
|    value_loss           | 1.51      |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.1         |
|    ep_rew_mean          | 5.3          |
| time/                   |              |
|    fps                  | 122          |
|    iterations           | 4            |
|    time_elapsed         | 533          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0051638996 |
|    clip_fraction        | 0.0437       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.861        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.865        |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00276     |
|    std                  | 0.98         |
|    value_loss           | 1.74         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.4         |
|    ep_rew_mean          | 5.3          |
| time/                   |              |
|    fps                  | 123          |
|    iterations           | 5            |
|    time_elapsed         | 665          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0058694705 |
|    clip_fraction        | 0.0765       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.877        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.561        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00458     |
|    std                  | 0.971        |
|    value_loss           | 1.46         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.5         |
|    ep_rew_mean          | 5.39         |
| time/                   |              |
|    fps                  | 123          |
|    iterations           | 6            |
|    time_elapsed         | 798          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0033244034 |
|    clip_fraction        | 0.0398       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | 0.884        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.697        |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00215     |
|    std                  | 0.951        |
|    value_loss           | 1.47         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.1        |
|    ep_rew_mean          | 6.1         |
| time/                   |             |
|    fps                  | 123         |
|    iterations           | 7           |
|    time_elapsed         | 929         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.007018674 |
|    clip_fraction        | 0.0658      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.534       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00385    |
|    std                  | 0.936       |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.4        |
|    ep_rew_mean          | 6.01        |
| time/                   |             |
|    fps                  | 123         |
|    iterations           | 8           |
|    time_elapsed         | 1061        |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.005624607 |
|    clip_fraction        | 0.0598      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.907       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.421       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00339    |
|    std                  | 0.92        |
|    value_loss           | 1.16        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.7         |
|    ep_rew_mean          | 6.08         |
| time/                   |              |
|    fps                  | 123          |
|    iterations           | 9            |
|    time_elapsed         | 1193         |
|    total_timesteps      | 147456       |
| train/                  |              |
|    approx_kl            | 0.0059286077 |
|    clip_fraction        | 0.0498       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.901        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.636        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00225     |
|    std                  | 0.912        |
|    value_loss           | 1.25         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.9         |
|    ep_rew_mean          | 6.57         |
| time/                   |              |
|    fps                  | 123          |
|    iterations           | 10           |
|    time_elapsed         | 1327         |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0044332845 |
|    clip_fraction        | 0.041        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
