Loading Anaconda 3 2024.02-1
ppo_baseline_cf_obs20_dense_v7_seed0 obs shape: (20, 5) action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to runs/tb/ppo_baseline_cf_obs20_dense_v7_seed0_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 12.1     |
|    ep_rew_mean     | -0.81    |
| time/              |          |
|    fps             | 277      |
|    iterations      | 1        |
|    time_elapsed    | 59       |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12.1         |
|    ep_rew_mean          | -0.912       |
| time/                   |              |
|    fps                  | 269          |
|    iterations           | 2            |
|    time_elapsed         | 121          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0026597986 |
|    clip_fraction        | 0.0132       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | -0.0491      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.161        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000477    |
|    std                  | 0.996        |
|    value_loss           | 1.63         |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 12.4      |
|    ep_rew_mean          | -0.888    |
| time/                   |           |
|    fps                  | 266       |
|    iterations           | 3         |
|    time_elapsed         | 184       |
|    total_timesteps      | 49152     |
| train/                  |           |
|    approx_kl            | 0.0109649 |
|    clip_fraction        | 0.158     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.43     |
|    explained_variance   | 0.976     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0117   |
|    n_updates            | 20        |
|    policy_gradient_loss | -0.0134   |
|    std                  | 1.01      |
|    value_loss           | 0.0919    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.9        |
|    ep_rew_mean          | -0.802      |
| time/                   |             |
|    fps                  | 265         |
|    iterations           | 4           |
|    time_elapsed         | 247         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.011813329 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.023       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0168     |
|    std                  | 1.01        |
|    value_loss           | 0.0603      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 13.9       |
|    ep_rew_mean          | -0.665     |
| time/                   |            |
|    fps                  | 264        |
|    iterations           | 5          |
|    time_elapsed         | 309        |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.01556516 |
|    clip_fraction        | 0.183      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.39      |
|    explained_variance   | 0.995      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0334    |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0212    |
|    std                  | 0.957      |
|    value_loss           | 0.0485     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.7        |
|    ep_rew_mean          | -0.532      |
| time/                   |             |
|    fps                  | 263         |
|    iterations           | 6           |
|    time_elapsed         | 372         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.018235292 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00397     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0254     |
|    std                  | 0.902       |
|    value_loss           | 0.0458      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.3        |
|    ep_rew_mean          | -0.616      |
| time/                   |             |
|    fps                  | 262         |
|    iterations           | 7           |
|    time_elapsed         | 436         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.021441938 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.25       |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00992    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0258     |
|    std                  | 0.836       |
|    value_loss           | 0.0381      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.6        |
|    ep_rew_mean          | -0.41       |
| time/                   |             |
|    fps                  | 262         |
|    iterations           | 8           |
|    time_elapsed         | 498         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.022532213 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0094     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0234     |
|    std                  | 0.766       |
|    value_loss           | 0.034       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.4        |
|    ep_rew_mean          | -0.279      |
| time/                   |             |
|    fps                  | 263         |
|    iterations           | 9           |
|    time_elapsed         | 560         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.011107771 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.12       |
|    explained_variance   | 0.649       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.137       |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00637    |
|    std                  | 0.735       |
|    value_loss           | 0.321       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.2        |
|    ep_rew_mean          | -0.347      |
| time/                   |             |
|    fps                  | 264         |
|    iterations           | 10          |
|    time_elapsed         | 619         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.006906269 |
|    clip_fraction        | 0.0737      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.368       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.207       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00197    |
|    std                  | 0.71        |
|    value_loss           | 0.568       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.1        |
|    ep_rew_mean          | -1.29       |
| time/                   |             |
|    fps                  | 265         |
|    iterations           | 11          |
|    time_elapsed         | 679         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.004304634 |
|    clip_fraction        | 0.0475      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.705       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0555      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.000798   |
|    std                  | 0.699       |
|    value_loss           | 0.509       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26.1        |
|    ep_rew_mean          | -2.85       |
| time/                   |             |
|    fps                  | 265         |
|    iterations           | 12          |
|    time_elapsed         | 739         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.007727151 |
|    clip_fraction        | 0.07        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.886       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.115       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00211    |
|    std                  | 0.677       |
|    value_loss           | 0.393       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.5         |
|    ep_rew_mean          | -4.58        |
| time/                   |              |
|    fps                  | 266          |
|    iterations           | 13           |
|    time_elapsed         | 798          |
|    total_timesteps      | 212992       |
| train/                  |              |
|    approx_kl            | 0.0030616145 |
|    clip_fraction        | 0.0305       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.942        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.26         |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00178     |
|    std                  | 0.679        |
|    value_loss           | 0.769        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.6         |
|    ep_rew_mean          | -0.391       |
| time/                   |              |
|    fps                  | 267          |
|    iterations           | 14           |
|    time_elapsed         | 856          |
|    total_timesteps      | 229376       |
| train/                  |              |
|    approx_kl            | 0.0041897604 |
|    clip_fraction        | 0.0406       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.963        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.322        |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00245     |
|    std                  | 0.676        |
|    value_loss           | 1.21         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.5        |
|    ep_rew_mean          | -2.15       |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 15          |
|    time_elapsed         | 916         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.004640453 |
|    clip_fraction        | 0.0529      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.835       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00204    |
|    std                  | 0.674       |
|    value_loss           | 1.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.6        |
|    ep_rew_mean          | -0.285      |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 16          |
|    time_elapsed         | 977         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.005712781 |
|    clip_fraction        | 0.0674      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.969       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.732       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00243    |
|    std                  | 0.674       |
|    value_loss           | 1.84        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -0.274       |
| time/                   |              |
|    fps                  | 268          |
|    iterations           | 17           |
|    time_elapsed         | 1039         |
|    total_timesteps      | 278528       |
| train/                  |              |
|    approx_kl            | 0.0037707975 |
|    clip_fraction        | 0.0512       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.971        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.22         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0019      |
|    std                  | 0.685        |
|    value_loss           | 1.63         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.5        |
|    ep_rew_mean          | -0.315      |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 18          |
|    time_elapsed         | 1099        |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.004839035 |
|    clip_fraction        | 0.0401      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0102      |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00016    |
|    std                  | 0.675       |
|    value_loss           | 0.402       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.5        |
|    ep_rew_mean          | -0.688      |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 19          |
|    time_elapsed         | 1160        |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.008533848 |
|    clip_fraction        | 0.0887      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.992      |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0878      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00457    |
|    std                  | 0.647       |
|    value_loss           | 0.799       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.1         |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 268          |
|    iterations           | 20           |
|    time_elapsed         | 1222         |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0060941163 |
|    clip_fraction        | 0.0491       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.97        |
|    explained_variance   | 0.97         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.791        |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.000925    |
|    std                  | 0.633        |
|    value_loss           | 1.21         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.8         |
|    ep_rew_mean          | -0.265       |
| time/                   |              |
|    fps                  | 267          |
|    iterations           | 21           |
|    time_elapsed         | 1284         |
|    total_timesteps      | 344064       |
| train/                  |              |
|    approx_kl            | 0.0035479194 |
|    clip_fraction        | 0.0506       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.944       |
|    explained_variance   | 0.966        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0538       |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.000329    |
|    std                  | 0.621        |
|    value_loss           | 0.977        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.8        |
|    ep_rew_mean          | -0.202      |
| time/                   |             |
|    fps                  | 267         |
|    iterations           | 22          |
|    time_elapsed         | 1346        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.006470898 |
|    clip_fraction        | 0.0659      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.921      |
|    explained_variance   | 0.98        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0711      |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0031     |
|    std                  | 0.6         |
|    value_loss           | 0.705       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.3         |
|    ep_rew_mean          | -0.444       |
| time/                   |              |
|    fps                  | 267          |
|    iterations           | 23           |
|    time_elapsed         | 1408         |
|    total_timesteps      | 376832       |
| train/                  |              |
|    approx_kl            | 0.0073584625 |
|    clip_fraction        | 0.081        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.88        |
|    explained_variance   | 0.967        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0113       |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00189     |
|    std                  | 0.578        |
|    value_loss           | 0.248        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | -0.573      |
| time/                   |             |
|    fps                  | 267         |
|    iterations           | 24          |
|    time_elapsed         | 1470        |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.005461299 |
|    clip_fraction        | 0.0708      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.848      |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.695       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00167    |
|    std                  | 0.557       |
|    value_loss           | 0.788       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.1         |
|    ep_rew_mean          | -0.167       |
| time/                   |              |
|    fps                  | 267          |
|    iterations           | 25           |
|    time_elapsed         | 1531         |
|    total_timesteps      | 409600       |
| train/                  |              |
|    approx_kl            | 0.0069496017 |
|    clip_fraction        | 0.1          |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.815       |
|    explained_variance   | 0.98         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0329       |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.000477    |
|    std                  | 0.547        |
|    value_loss           | 0.337        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.7        |
|    ep_rew_mean          | -0.608      |
| time/                   |             |
|    fps                  | 267         |
|    iterations           | 26          |
|    time_elapsed         | 1592        |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.007641605 |
|    clip_fraction        | 0.0865      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.797      |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.852       |
|    n_updates            | 250         |
